Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kazakhstan,xxx,xxx,xxx,xxx,. .,. .,106.9268929577,177.6866283839,241.7712058695,236.7522783761,242.6462230838,143.9053571279,143.5275411059,221.4862065206,245.9567194462,317.5643151308,426.4417245562,591.9852498495,793.0271474911,1359.7760986994,1540.8108130575,1271.8902757344,1501.8153438974,1803.9707818116,2177.5432054885,2551.1243747083,2306.4645743114,1901.7281634418
Kyrgyzstan,xxx,xxx,xxx,xxx,. .,. .,28.6726251418,51.598795036,54.5867942793,55.0048092153,43.7579183783,32.4823047757,39.4431890122,35.8340568027,43.775393026,55.0764747391,63.0151536111,75.719670924,89.8067138364,116.2762653318,149.3112706632,148.9601226922,184.3822270762,210.6453940824,211.852056718,234.443547538,252.1149362304,235.5181491752
Tajikistan,xxx,xxx,xxx,xxx,1.0370586424,23.4981752177,14.1828915299,5.8034006463,13.4585448393,19.0509893604,22.6132303235,15.1261522552,10.3532811559,12.4682255637,25.5776681994,34.7883463939,45.1100989392,. .,. .,. .,52.4671206044,47.5292743156,53.7569337082,71.3421167937,76.2604718313,. .,104.280653973,. .
Turkmenistan,xxx,xxx,xxx,xxx,. .,. .,79.5833333333,135.6126126126,48.5493865031,106.1905910736,87.5100401606,111.9230769231,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Uzbekistan,xxx,xxx,xxx,xxx,. .,. .,86.9298245614,112.6784214945,172.211545661,217.7471907434,. .,250.0717360115,115.3753846154,59.7606104651,45.9144329897,54.1336954635,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"China",. .,11403.4530199649,10085.081566563,9953.6417583532,12420.300874589,12577.1659296489,10050.5865590562,12606.2295992777,14563.2403904419,16104.9152316784,17527.9898685391,21027.3412415972,22929.7646066386,27875.3872836086,32137.7356491087,35126.306608063,40352.713136126,45728.9131427965,55337.4876691415,68090.027756516,86412.4742038809,105633.726783007,115700.600988647,137967.304294479,157445.768359878,177848.187555936,199651.442932225,214787.271399485
Japan,28216.1027529808,27966.3535415036,28800.4516824134,32785.4157541924,35999.1235758107,41353.9362218745,45285.594082655,49961.6732369689,44047.1046801313,40634.8406079791,37849.0126427562,43122.8985049207,45509.6738273094,40757.9672341581,39333.7081698408,42486.177361062,45339.8094146572,44300.6133299461,41552.5928855794,40530.0456884692,46361.4682804594,51465.1582075898,54655.450735305,60762.2138408911,60011.5301946974,49023.9324068581,45866.7861691589,40884.8161166863
"North Korea",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
"South Korea",7732.3956755456,9468.9748844303,10110.7148710587,10956.5243477561,11614.6651960992,12377.4248727063,13519.2657627271,16085.0956794805,16408.6652669578,14848.4845299378,10457.9575293983,12095.1868239094,13801.1070241211,12941.8508276594,14101.7033147096,15847.047272178,17829.8641427723,22159.5125571222,25177.2377410344,27726.1295852493,26072.4105076902,24575.6619391823,28175.1812189679,30991.7079464761,31951.760810319,34354.1124354934,37286.22169883,36434.9114475341
Mongolia,. .,. .,. .,110.8383146086,33.0418912018,14.0571029555,16.3936412249,21.2811487853,21.6081968917,18.6925943554,19.920839934,18.0218618807,24.2655595494,23.1247153138,25.2821284146,24.3332112268,27.7490930566,29.7979672267,39.1896244808,56.5618591934,66.749871333,37.6337460008,54.855717507,87.1578481573,117.9304350388,107.0259132637,105.1024786297,102.2656103847
Taiwan,7110.0917431193,8142.2018348624,8701.1489978805,9304.4937534962,10071.0900473934,11653.4657217569,11953.3582794724,11470.210677339,11765.2414596839,11325.0994347917,9231.5742263418,9568.8960515713,8800.6405124099,7982.2485207101,7531.453362256,7472.8339822186,7833.1637843337,8011.3159449125,7645.0155236544,8157.2376834541,8960.243678015,9122.8176344216,9092.3456165856,9998.2351344013,10496.825825623,9964.3049568966,10240.3687849852,9803.312169782
Afghanistan,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,125.1115574571,122.7271931349,131.3462312695,219.5802142962,240.532594621,251.8695148203,298.1468525196,325.807003658,238.5833853743,217.1941071133,268.2270742358,199.2969673207
Bangladesh,331.995586628,378.7961352461,373.0234389593,381.7201100523,427.7236249794,471.0446723351,547.417522185,620.0951559284,638.9588448328,681.9151239873,701.5856003532,737.4125736072,740.7981600057,705.481695213,681.8161617197,719.4429569409,770.641160289,773.6776681792,829.6827948377,953.4642235996,1030.0200182388,1258.7911566024,1624.6250859664,1801.5398018136,1823.4250763779,2047.9890708703,2374.0231399289,2669.1030371585
India,11346.4191534156,10589.796924594,10537.0354500528,8622.4738813846,8083.2314097098,8253.5425814851,8880.5512260269,9754.4646298929,9904.6727363038,11464.8833898324,11920.6108183832,13895.562461387,14287.5142407035,14600.6423460997,14749.6672515907,16333.986643282,20238.5665265411,23072.3129251701,23951.9279581522,28254.7734500647,33002.3767273797,38722.1543921843,46090.4456565003,49633.8157937027,47216.9200482061,47403.5288014226,50914.1083410482,51257.0167392023
Nepal,35.7891211377,36.3311363503,37.9291911254,35.4314857066,37.6075378943,37.0418374233,39.2529986335,39.7665845062,39.5470260354,42.5878519898,42.2730758854,47.4849573707,51.3581353086,64.7017383751,85.4058857218,102.9341462069,130.6503279329,159.3260237503,157.2476895249,169.5753971241,187.069695836,209.7035019576,254.9500721067,284.5188510626,256.6868394736,279.2711830719,313.4924063707,311.9025073209
Pakistan,2721.7232396283,2580.1426380741,2810.1016243309,3067.1237941582,3388.7763726538,3308.7607445779,3320.6179293739,3665.9324267525,3547.7996712742,3320.2388626054,3218.8817382849,3080.7645144412,2973.072721918,2842.0467904249,3273.4018933825,3722.8147942928,4128.1954893671,4587.1174251653,4969.1976114668,5342.5751376804,5226.6787865015,5274.5649707696,5974.6131760762,6954.7875112632,7478.9710820256,7645.4555294257,8654.9307616222,9509.6847801074
Sri Lanka,165.4866255015,125.6827872422,187.0234056945,277.3890238449,326.7654735612,354.785171205,437.0324050746,763.6639636616,767.1055916803,698.7927708638,733.4356347003,631.0141501087,822.1273655901,675.0165020194,571.6579502227,541.6955895608,619.3054924205,644.2118251109,791.4910406682,1054.8168102474,1511.3630069969,1522.232372004,1532.0261091064,1751.9106407995,1461.5643832825,1684.3703755356,2021.9813885804,1819.1655489058
Brunei,178.392184534,186.12902895,231.1685875544,245.4342855489,251.6927874669,233.9412918758,261.8760802388,285.7384752148,328.3594791637,369.0707902021,293.9770554493,258.4131778921,244.2052019768,217.6679391869,226.1824314891,243.3732450149,199.381149311,248.5880797885,293.4364635321,323.1371508195,361.9890344842,349.7597228047,390.7195400107,415.3715289647,411.261473947,412.0942797542,527.7852317212,424.0889519487
Cambodia,. .,. .,29.0909090909,43.2946836634,62.2937358872,44.6262551134,107.2586189962,123.1011534868,113.5636108655,103.419601188,83.3239860913,88.172003477,81.025841307,70.846940886,65.1827160999,67.5252244339,69.2187986306,70.9590714722,75.8813135929,79.0154258821,82.630723428,136.5897379528,167.8579279891,192.1594185044,217.3057277461,243.4701098765,278.3405572755,. .
Indonesia,1356.7064127662,1409.5567381897,1613.9753962698,1697.0292054637,1887.6359659494,1933.3045853098,2239.7315746847,2478.7535410765,2874.845237587,3231.358571242,972.7021251099,1135.1470054678,1129.5428395694,919.022697814,1369.8571288955,2134.7467043172,2428.9477952981,2146.2707913865,2611.8751173668,3348.7583415381,3232.2022154953,3304.4591382015,4663.3657593755,5838.0261857172,6531.0979552832,8384.0286009253,6929.255301217,7640.5963539922
Laos,. .,. .,. .,. .,102.2926113314,107.6439790576,116.1053803505,103.7045321801,78.4454660149,67.0645565803,33.3502105611,15.3829473868,13.7176645993,12.5745707783,11.4356174736,11.0133409026,11.4969675213,11.9659884376,13.4105650646,14.8388655401,16.2678889598,13.9736145279,15.356402951,19.0098205991,20.3271576571,22.6777131196,. .,. .
Malaysia,855.7419867266,1019.2554746681,1125.0078562001,1571.9599864731,1766.5208959794,1923.3981717811,2120.5978066198,2444.0983868392,2420.9639339571,2089.0874772056,1158.6573131484,1663.2894736842,1533.1578947368,1934.4736842105,2237.8947368421,2881.5789473684,2823.1578947368,3120.3377791391,3266.197405798,3970.5373272399,4411.7955651217,3964.817704639,3854.2853506111,4692.4836601307,4507.252007252,4915.7227594568,4919.2449417329,4548.9995811161
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,2969.2360763159,2366.9890849106,2372.8953030743,2192.5437611035
Philippines,931.5610082153,954.9287610355,951.4818699739,913.2197419082,1078.8437040666,1173.0175001291,1392.1990218494,1700.4024966459,1879.3031762924,1576.4471152704,1225.5612805094,1341.0166543017,1303.0776854791,1122.1039915596,1199.1217666985,1301.2860840576,1243.2213476469,1372.7024353051,1607.2712674635,2014.3710291148,2270.9049190832,2115.7851244869,2438.1895689841,2701.4921582616,2898.6852574546,3377.0278611513,3103.1282661189,3870.4350522613
Singapore,1205.8864451755,1410.4529652457,1801.901209911,2022.8068652137,2332.1485355777,2481.4487031112,2797.163882051,3672.7976971596,4100.2382911123,4457.3043015605,4466.2703154876,4493.1738802096,4330.7269310193,4309.1275422499,4528.1164308971,4723.6795279477,5043.3964608367,5463.8308099015,5830.5274618769,6518.5289629089,7454.3241027381,7537.7618579453,8108.8514202316,8922.2678051806,9171.9480186928,9345.680492288,9667.9294424056,9417.3340066611
Thailand,1809.0033565405,1939.6934090732,2214.0177053409,2598.3371739403,2961.7698355518,3156.2998625571,3611.1332007952,3849.0258958387,3938.04724832,3264.8026577988,2110.2397520274,2056.8471215459,1881.0094535773,1724.7996371976,1812.9933356766,1891.5205883629,1866.9373284538,1984.4928282128,2441.9170054379,3522.6344363263,4465.9940624315,4799.65466753,4962.4199560054,5512.9838611819,5491.9152208113,5901.2969472108,5729.7843582781,5736.8112014323
Timor Leste,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,8.23,17.105,23.735,23.651,36.481,26.389,20.53,33.388,31.683,29.624,36.959
Viet Nam,1305.8145017955,458.5624838988,511.9701363608,427.6178140879,332.9703094035,297.7163800395,431.3450121743,. .,. .,. .,. .,. .,. .,. .,. .,841.9301593852,915.0895465515,1026.4268013544,1286.5288667142,1784.2174218105,2137.6255965453,2401.4509144394,2672.2864250063,2686.5205901569,3360.8603802574,3727.2492762762,4255.721581237,4571.0829632578
Australia,5836.3478682095,6300.0158152776,6704.2136980313,7023.5090671154,6882.0915800683,6733.8292895224,7459.6965819777,7665.8784459945,8202.7765169893,7936.8849173952,7107.5428908866,7770.2506532469,7273.7603126105,7043.1458953989,7946.7662015908,9926.6494153355,11995.2197095054,13237.7984986292,14239.7795130914,17186.4409616173,18633.0923182741,18960.1385130129,23217.6928157335,26597.1986553381,26216.5808484356,24825.2625888168,25783.7087140042,23587.6548658732
Fiji,24.6738355264,29.0832114229,30.5420315887,32.4825828838,30.5391253435,32.0410956239,33.6652733383,34.7002481637,32.8511366066,30.9625401751,22.5989269285,23.8116997187,32.0395373528,32.8116558246,30.9143042681,37.2968980798,46.7988112756,43.1113502901,54.0671680588,75.5769182999,53.5856586205,51.2857223208,50.4089537145,60.7855274678,59.221516406,58.1082768995,43.2882083344,49.2227940706
New Zealand,961.838312369,959.6029064378,1057.7496718769,989.0338100155,870.3989171711,866.7880746389,979.5318169959,1146.4157282726,1238.2719868028,1180.8889065207,969.356349525,970.3060419875,858.4149194739,796.6368891224,865.7888529685,1132.8320074328,1285.1631890129,1389.770959043,1463.9508190343,1713.9959432049,1661.2428218987,1623.0135925241,1930.7480022769,2080.0910089192,2094.9460414169,2134.1058380692,2275.6835678259,2060.8326009832
Papua New Guinea,46.2947478413,53.0742422249,68.6910994764,52.6421416631,58.5696766643,68.5969921599,83.2558783396,56.405488186,78.7448732819,79.5565971474,49.7205329887,35.6780264279,33.6069816258,25.2307655988,17.0208614661,19.3071321332,24.4217294432,30.4647076839,31.3079663562,39.2870993306,39.3320222659,52.0481717807,46.3356243725,64.1931361426,110.6231852758,105.1008906176,112.375527649,99.7941942962
Albania,. .,. .,. .,. .,31.5596574818,39.2898434285,49.6495049317,50.9075217778,45.7133561087,29.8254919998,33.6380474398,42.7842052131,45.3625033923,53.2320451615,58.6493525026,76.1428817607,100.9223584355,110.1408526859,140.9839006599,194.8403092408,255.6779578185,182.7368624978,185.8932419951,197.0067892363,183.2046956602,180.0155088209,178.1203680278,132.3410335794
Bosnia-Herzegovina,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,241.0255176429,202.2828388914,200.1003072704,173.3048476525,178.3755700514,195.0496850945,233.2923906531,242.4713578476,219.9154895242,211.8782606223,197.3446502125,197.6171888259,190.3804546413,162.2292165768
Bulgaria,. .,2071.4285714286,794.5205479452,232.1763865934,255.7709115213,282.6742433028,241.9934347735,311.1471055875,213.6163562671,244.3693961519,320.3890113386,357.2245395833,351.3432048529,406.0035428043,455.9504665428,569.0540774514,650.7482017129,699.4339730518,750.9924515959,1032.1542283335,1038.0519325117,963.2541640305,893.4675339619,829.0317534804,807.5293190105,899.5840034746,835.716950628,660.8853200959
Croatia,xxx,xxx,xxx,xxx,782.0036612508,1168.9367587276,1625.2223654179,2060.3889300981,1938.6988973457,1797.1846806632,1427.2648268427,1035.9490082596,659.7750333125,629.4641037506,733.6807390544,709.3991471998,730.8670045109,799.1609012244,849.4310346895,978.8537321001,1295.9570743094,1129.09849639,1015.8766535528,1106.4640419771,955.3201636158,956.9526440521,906.5501116044,755.4561625129
Czech Rep.,xxx,xxx,xxx,xxx,xxx,815.5854669191,938.2527766101,1065.3524586767,1123.9238309959,988.3243318275,1166.0997732426,1205.9318699883,1157.2940847289,1182.5199222827,1494.3903966278,1885.7066893545,2042.0859306298,2439.538514196,2449.9637097488,2707.6777522088,2918.6958533714,2718.5595131931,2497.9029547133,2474.3132590035,2145.6876516409,2082.9867249854,2022.9073828737,1778.2713530447
Czechoslovakia,. .,. .,2334.2618384401,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Estonia,xxx,xxx,xxx,xxx,. .,13.1465598849,25.1357353798,36.3434875828,41.4366077092,53.0316521755,59.9198474768,73.8005413248,78.3133085598,93.8185399042,122.069530654,171.4119238561,204.9681802428,265.9617457734,315.1790533332,444.1975159971,505.7798182587,434.3408651514,332.2311968672,389.2375808884,436.8529116247,479.3144608243,512.1190451235,456.9653948536
German DR,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Hungary,1027.5086683646,812.6461281645,847.3892468899,722.5491534132,812.0179671952,735.8603855843,757.1319893496,612.1848171164,585.2719018389,695.9724609051,618.4643799965,702.9424911236,715.8576648156,845.0556738455,1079.1548236243,1401.561253104,1532.6122340268,1596.087843153,1410.071771472,1776.4641172819,1867.8774990849,1475.8181692382,1350.8204131882,1472.0698316381,1322.2777027507,1280.0509622477,1209.8021653614,1022.997290121
Kosovo,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.927234775,27.2270856284,38.5781205094,50.9688637738,43.3904038834,48.5976812333,53.5757877449,49.9897082964
Latvia,xxx,xxx,xxx,xxx,. .,17.6915079721,33.9003480436,43.5603310585,38.154934556,37.9883131495,42.1801665044,56.5686263912,69.9906833594,86.9667410977,147.2248401843,189.1442513921,229.353322501,272.5511157795,367.8254904444,481.4926271441,581.7522729266,363.8092510701,259.6721241975,296.8349292125,255.7403425892,283.56893274,299.4438199214,285.9361135759
Lithuania,xxx,xxx,xxx,xxx,. .,20.7697637694,21.0622713846,30.4536125,42.26,75.611,138.175,106.45,140.4,166.875,181.4814411905,210.8224132355,270.8417997619,303.8190063518,351.6057887604,442.0044933491,541.3901946476,404.8260286712,326.3209186864,344.6052154286,328.6316816129,354.8621497034,426.9002716662,471.3842058563
"Macedonia, FYR",xxx,xxx,xxx,xxx,. .,. .,. .,. .,130.636725853,83.2541722079,78.9912911275,66.2369204489,69.8289479075,226.3030023326,106.3095767197,115.8272017201,135.2562947911,127.0036543523,126.0088767218,162.5672370545,172.6581589149,158.7166614513,130.0214691064,132.461994809,119.4104025241,126.5063487034,123.2503053517,107.4571712704
Montenegro,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,60.8118191315,62.3478155057,64.1904746263,85.1063829787,76.6833879054,75.0948618956,79.3766638169,67.7122013018,70.6358152794,69.1228312712,64.884649512
Poland,1783.7815239254,1493.9062521714,1540.7368421053,1721.9958207657,1881.9350672225,2123.3784156776,2251.9231784815,2719.3626339186,3083.4167872112,3192.2763768987,3491.0226161017,3226.5553513767,3146.1067125012,3630.6455946652,3776.1732144126,4150.261758565,4778.6277490404,5896.4048611025,6619.4137588781,8589.1363644575,9349.4213942986,7903.8120084355,8790.1701323251,9455.4229880014,8986.8387920922,9275.7117274459,10345.1535748722,10459.9423791438
Romania,2524.3575285951,2572.110229466,1739.0257711048,1377.1940848729,831.620409608,722.4515197007,936.6862225015,983.1405413913,874.451238887,1074.7857822471,1254.2278927124,955.3375769592,935.5696103406,985.6576556736,1056.136062489,1250.3275592543,1530.1839039606,1975.9751514424,2251.4934246595,2607.6899415564,3000.4049450942,2225.1445399481,2086.2204600522,2379.8714824133,2102.8862234012,2452.5129810813,2691.4702874589,2481.4300700891
Serbia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,914.3649679482,642.1222634286,737.4694507568,337.0806083662,494.0692264813,678.511699843,730.5671229166,739.1720650755,629.5009428334,705.0627142725,971.5705646368,1111.6315378611,974.2884792381,872.33963172,986.9581936744,853.6226332308,919.8099083008,913.3685128448,724.0885116554
Slovak Rep.,xxx,xxx,xxx,xxx,xxx,266.8990365787,299.9934191353,629.6226826387,641.559871059,499.5295066541,397.5922157429,327.1691709335,342.3227689469,393.9965983216,440.0592860419,624.5084545812,711.2904280257,823.3134554496,911.37062676,1139.1944877529,1411.7102848947,1350.2944392041,1137.6805355972,1064.8428105734,1020.1800347941,967.9231078697,997.7038218027,972.7151730257
Slovenia,xxx,xxx,xxx,xxx,281.422738462,230.3036715691,237.9495041013,334.6550228583,329.9726483319,290.7852718018,301.1398222327,274.8418278491,222.3915568055,271.4887903887,326.9595228121,416.9067536765,493.1538929137,514.1727994668,608.833753373,692.6549125559,829.3844069286,798.86864219,772.0851075101,665.6796713723,543.4964165213,506.7429321033,486.194870396,407.0153061224
Yugoslavia (former),. .,. .,. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
Armenia,xxx,xxx,xxx,xxx,. .,9.829763866,. .,52.228583817,52.4102685483,64.0621211905,66.7575730569,68.234148566,68.0521420654,66.2476264597,64.1064056524,76.5879988873,98.0704881985,140.7381026772,188.1891164311,280.1086883439,395.9943654423,359.499343487,395.0115077878,390.8714339022,380.5716788961,444.5518595011,457.8070217914,447.374271318
Azerbaijan,xxx,xxx,xxx,xxx,11.0701107011,77.519379845,43.9427470585,66.1599689139,71.6068412432,92.0866919675,107.2628586198,120.2621739663,119.5756517152,131.9636600642,139.8940919433,176.5521623058,228.2496316257,304.5214777332,717.1118535556,946.5997921046,1607.7992259195,1472.9099769465,1476.6087335701,3080.0849958085,3246.1226126304,3367.5741611974,3427.1799170648,3020.849287542
Belarus,xxx,xxx,xxx,xxx,. .,. .,. .,179.0816769378,182.8056145549,249.3841394285,227.5860872883,165.9038488538,140.3262047334,177.6978417266,204.3642373752,231.5638604377,314.3140177571,452.6840683065,631.8312381094,746.9432639976,883.0275229358,675.4265050751,767.6992858846,756.2773512804,817.0698940853,971.1078203389,1010.8270139115,723.7937337203
Georgia,xxx,xxx,xxx,xxx,. .,. .,. .,. .,67.7066835603,44.0077071291,41.08445698,25.8826783633,18.8242914324,23.829967873,33.9758070393,42.6474028849,70.4197427804,214.0714301476,404.1720258589,931.7505642057,1090.1602506054,603.6552149369,454.1782151554,468.7796268363,491.9825293585,408.0527942914,415.6424261823,326.969819589
Moldova,xxx,xxx,xxx,xxx,. .,. .,. .,13.3457894034,15.3546111613,17.4107509765,10.6131416761,5.990984994,5.0907979605,5.961865823,6.9783722044,8.2467425367,9.3780059531,11.9603796946,16.4494977572,22.718473793,36.8456505004,24.9063872687,18.3357182702,22.9669636924,23.870072824,26.7105221343,27.5656188549,23.0648654497
Russia,246010.993115961,218759.663794048,219114.06183136,. .,. .,7766.7200784134,13547.8717334246,12741.6294704057,15826.3406518084,17577.3531806466,7955.7304009859,6469.0352113534,9228.2041437368,11683.1513447726,13943.8250634002,16973.7390851036,20955.4135706279,27336.9772736915,34517.781618918,43534.9949962472,56183.7853932539,51532.1167975199,58720.2276087579,70237.5239514946,81469.3999312577,88352.8964635598,84696.5046534978,66420.7898753571
Ukraine,xxx,xxx,xxx,xxx,. .,152.2338665196,919.0446820594,1046.7934314052,1464.9051364603,2068.5839519569,1405.1617854781,941.7882840569,1136.7166461712,1088.5751727424,1176.3557377849,1427.9847506606,1685.0341594005,2405.4925820482,2986.4752475248,4096.0396039604,4811.019854876,3452.4671297509,3729.503858542,3684.6914237232,4136.8884862152,4386.4631552609,4033.3313703551,3622.3815490827
Austria,1713.9545768605,1623.4880552464,1972.7016815164,1994.0555459965,2139.9253217401,2115.1152666843,2227.5605501316,2557.8344941862,2457.9030486576,2164.8023433985,2159.7960032102,2124.3795458686,1925.5573981942,1788.7983105297,1881.7467413298,2381.9627689231,2679.2820646539,2686.1662438442,2640.185362439,3499.8179673108,3746.7316072802,3334.7549396188,3218.3512240992,3409.7212085827,3187.2274487533,3229.0658413429,3305.1592564825,2537.0772842432
Belgium,4097.1493083098,3880.733005733,4644.3242408038,4624.5007460015,4131.2981122132,3746.0428508964,3944.1018128327,4449.0148346107,4241.865967615,3684.0953888761,3664.2884132382,3598.4475196218,3190.8052330938,3036.0354717184,3147.146016658,3875.6977723203,4262.6635128172,4228.2246430881,4307.8953409748,5163.9799736669,6295.8215842092,5620.6700627776,5244.7205133469,5499.3709642666,5168.9978337235,5229.971360629,5191.5093812684,4168.1455190772
Cyprus,243.8158643993,244.9956633224,411.409063265,418.3873687341,630.1271060111,268.2772716201,298.4691268767,298.8333855106,448.0759093305,534.1411886635,483.7486451082,289.9703669688,281.1603742536,327.6271602916,242.4834909955,288.427605802,338.4745663217,380.8750288494,387.7036719619,405.176368466,453.8030541619,471.3527810925,477.5874285639,479.735318445,414.4963214415,384.9253610459,357.8068400292,353.7045252884
Denmark,2320.4234401392,2183.6671600426,2649.8894734801,2671.9466705021,2837.7453765906,2682.0112462484,2718.7900417417,3117.9661464702,3086.2249446856,2804.3170826987,2846.0653381745,2784.8812540853,2392.5108311869,2525.2258249007,2694.0824932138,3199.1584277901,3578.832460366,3468.4529199204,3896.7306676891,4175.6525892316,4788.0301208482,4337.355690401,4503.4921267123,4518.5901268647,4422.4580835842,4216.6475853363,4056.8615106846,3462.6962213239
Finland,1704.3306202399,1766.5861657598,2141.3009841898,2200.9915488982,2075.9555501282,1615.4248088449,1756.3389836682,1908.9868072945,2021.7970954464,1947.0025895134,1959.7088140168,1653.9051188598,1558.1352496775,1479.2708790078,1611.406522046,2263.7957459872,2646.0052274435,2743.3716360742,2861.4762005718,3015.1730405481,3615.1902442597,3599.3959794011,3399.7973630711,3749.1919844861,3602.7516593986,3786.7170146012,3599.428814562,2979.1481810115
France,36104.9629458337,35317.0629396512,42589.8687791145,42702.5990106204,45123.0860542949,42590.872342052,44392.5123227206,47768.1099997766,46403.4385835334,41308.2519852821,40041.1396803336,38897.2403308236,33814.2620232172,33276.6597166916,36403.9339325208,45916.973840733,53007.021660986,52908.769835348,54516.0768295697,60594.9868471117,66009.4481268539,66884.0288785193,61781.7481077287,64600.9272195231,60035.1538107707,62417.0991782612,63613.569143462,50859.5829636202
Germany,35096.8434557166,33604.1612483745,42318.7683011121,39516.3286231158,41965.8366929298,37215.0521098269,36330.2845173257,41158.7050954693,38989.8866488428,33217.5739249207,33146.4570569876,32604.0056380223,28149.9907868067,27425.2579395263,29333.2078490424,35055.0881794604,38007.6114556754,38054.0217877929,38092.3826525044,42551.8519430963,48081.4443183067,47470.0733354357,46255.521194101,48140.3479505946,46470.8709048252,45930.540563148,46102.6730104001,39393.3007985803
Greece,2749.5568291546,2560.2546135061,3193.3764840678,3146.8990349562,3623.0529149521,3364.413329766,3587.2449144413,4179.9132469725,4613.167576658,4573.516492293,4824.2571688824,5012.2856422983,4564.5224462391,4428.1035516461,4734.1772151899,5035.5855418641,6267.4687874442,7028.4285927474,7607.1861816166,8533.0902581032,10574.1384992859,10641.3481828677,8163.619386924,7128.6082671282,5914.9884233978,5655.1830357202,5531.2859088797,5082.6308784383
Iceland,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,22.4930846504,19.8867819571,19.4991117167,17.4444169072,. .,. .,. .
Ireland,453.4864469937,434.2220560247,594.0060104029,624.9326581187,674.0350444622,597.7237655667,633.6993791395,702.0397031231,750.9872458173,765.3055133039,742.4021531905,741.5086077856,694.6747742768,767.7783643994,811.2559408969,965.1999810391,1101.8606470358,1144.9783614386,1190.3791173707,1372.225370156,1582.8908338521,1415.7253734495,1274.2286883563,1300.3315470109,1157.5317296549,1195.7634443723,1191.2742840381,994.7870452529
Italy,19620.8171249637,19927.2678009729,23376.1280479921,24335.6333392121,25002.3566971047,20565.9683216218,20363.5389873168,19375.2570506161,23442.0843655019,22723.9033352433,23478.1571046844,23693.8634835776,22411.1848166575,22006.0670598026,24363.0887958214,30241.5031477347,34116.2081789002,33526.0906332388,33408.1423487187,35961.7211259201,41243.6371626323,38301.4073902226,36032.2894661908,38129.9914506746,33732.7539464521,33891.9139252137,31571.1168458443,23840.0266193434
Luxembourg,86.0155596003,75.9623259623,96.6913686355,107.7360891091,123.2174562246,108.0891998251,126.0000120574,142.2568148759,141.4954215938,134.075768032,143.1397390589,140.7587891676,128.192371476,160.2849191506,153.4045456684,198.6379755179,234.6762027155,243.7447147192,247.1331922458,286.0513688037,236.7201671373,222.9598268618,274.135432541,256.9624157864,237.5030497576,258.6559062332,279.0190130522,303.2350874306
Malta,22.3836055108,21.3087814649,21.152027666,21.7448181247,26.6926908063,24.6377055716,27.8702621406,31.1448599551,33.2961748165,31.1422148912,29.0812684141,27.9866206626,25.3539480517,27.1193231139,28.4036907968,34.1255020046,40.5264691888,52.4989633176,44.4344258373,49.2633771157,56.0325191343,59.1101115104,58.7289499301,55.8931264814,49.9220089067,53.7894388834,56.5148799167,55.8629103815
Netherlands,6728.8117074389,6399.2376985896,7420.8496357891,7246.1923250096,7904.5612733518,7054.8689618513,7137.373800973,8011.5395594985,7829.0047279377,6839.1367985472,6836.0848231296,7026.4332903273,5971.8076285241,6200.3919428014,6728.153969225,8356.3384700813,9377.1147243796,9566.9800527285,10217.7657403144,11480.3774235668,12374.8489398323,12131.8120756887,11220.5232800694,11647.9346080864,10364.7207867464,10226.2603248451,10332.6028779244,8873.1144631766
